bucket,study,label,verdict,asset,window,variant,source_csv,final_equity,cagr_pct,mdd_pct,calmar,return_2026_pct,why
BTC 포트폴리오 진화,118,첫 case3 확대형 포트폴리오 승자,역사적 전환점,BTCUSDT,2022-01-01 08:00:00 ~ 2026-02-12 00:00:00,lv3p0_g12_body25_tp20_lb5_none_case3_w52_28_20,118_backtest_btcusdt_case123_portfolio_with_117_case3.csv,61048.5981,129.5209,43.5679,2.9728,,case3를 약 20%까지 키우는 게 유효하다는 첫 명확한 신호였다.
BTC 포트폴리오 진화,119,BTC 2022+ 저MDD 완성형,BTC 2022+ 밸런스 우승,BTCUSDT,2022-01-01 08:00:00 ~ 2026-02-12 00:00:00,lv3p0_g12_body25_tp20_lb5_none_case3_rb1h_w49_27_24,119_backtest_btcusdt_case123_portfolio_fine_tune_around_118.csv,64098.0710,132.2561,42.8382,3.0873,,1시간 리밸런스와 49/27/24 비중이 2022+ 구간에서 가장 안정적으로 잘 맞았다.
BTC 포트폴리오 진화,120,BTC 2022+ 공격형 포트폴리오,"BTC 2022+ 고성능, 고운영비",BTCUSDT,2022-01-01 08:00:00 ~ 2026-02-12 00:00:00,lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w46_24_30,120_backtest_btcusdt_case123_fine_tune_rebalance_and_weights.csv,70917.2023,138.0334,43.4085,3.1799,,30분 리밸런스로 CAGR과 Calmar를 더 끌어올렸지만 운영 복잡도가 크게 늘었다.
BTC 2021+ 단독/혼합 비교,121,2021+에서 case3 우위 재확인,2021+ raw 우세 확인,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:15:00,case3_only,121_backtest_btcusdt_solo_vs_current_mix_2021plus.csv,239316.8078,151.0915,64.5809,2.3396,,2021을 포함하니 기존 current mix보다 case3 단독 알파가 더 선명하게 드러났다.
BTC 2021+ 실전형,122,BTC 실전형 최고,BTC 실전형 1순위,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:30:00,weekly_due_allflat_w0_55_45,122_backtest_btcusdt_practical_rebalance_weight_sweep_2021plus.csv,183130.1115,138.4891,54.7645,2.5288,,거의 리밸런스를 하지 않으면서도 case2/case3 55/45가 수익과 낙폭의 균형이 가장 좋았다.
BTC case3 엔진,126,BTC raw CAGR 최고 case3,BTC raw 엔진 우승,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:30:00,lb4_delay8_capna_cd0,126_backtest_btcusdt_case3_long_quality_push.csv,167824.2375,167.9773,64.5809,2.6010,-11.5764,"127과 122의 상위 결과를 만든 핵심 엔진으로, 절대 CAGR 자체는 최근 BTC 연구 중 가장 강했다."
BTC case3 엔진,127,BTC case2+case3 완충 혼합,BTC 공격형 혼합 우승,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:30:00,case2_case3best_half_mix,127_backtest_btcusdt_case2_vs_case3best_mix.csv,233009.7162,149.8032,55.5628,2.6961,-6.0105,raw case3보다 CAGR은 조금 낮지만 낙폭을 줄여서 Calmar는 오히려 더 좋아졌다.
ETH raw / salvage,129,ETH raw case3 red line,"연구용 엔진, 실전은 비추천",ETHUSDT,2021-01-02 00:00:00 ~ 2026-04-12 03:15:00,lb4_delay9_capna_cd0_only,129_backtest_ethusdt_case2_vs_case3best_mix.csv,27038.1842,63.8550,92.8406,0.6878,-57.9510,"ETH에서도 알파 중심은 case3였지만, 수익을 계속 재투입해 peak-to-trough가 지나치게 커졌다."
ETH raw / salvage,131,ETH case2 생존형,"참고용 salvage, 주력은 아님",ETHUSDT,2021-01-01 00:00:00 ~ 2026-04-12 08:20:00,lev12_tp2x_sl2x,131_backtest_ethusdt_case2_lev12_wide_tpsl.csv,4512.4692,33.0541,76.8370,0.4302,2.0680,case2를 최대 1.2배 노출과 2배 TP/SL로 눌러서 처음으로 끝까지 살려낸 버전이다.
ETH 리스크 관리,132,ETH 보수형 실전 후보,ETH 안정형 1순위,ETHUSDT,"129 raw curve overlay, base window 2021-01-02 00:00:00 ~ 2026-04-12 03:15:00",seed_vault_overlay,132_backtest_ethusdt_case3_seed_vault_overlay.csv,17904.7844,51.5356,31.8147,1.6199,-6.3060,수익 일부를 금고로 빼는 단순 규칙만으로 raw red line의 파괴적 drawdown을 크게 줄였다.
ETH 리스크 관리,133,ETH 공격형 실전 후보,ETH 공격형 1순위,ETHUSDT,"129 raw curve overlay, base window 2021-01-02 00:00:00 ~ 2026-04-12 03:15:00",multiplier_ladder_overlay,133_backtest_ethusdt_case3_seed_ladder_overlay.csv,48690.7433,83.1909,71.6547,1.1610,-30.1123,배수 래더 출금으로 raw red line의 업사이드를 더 보존하면서도 낙폭을 일부 제어했다.
