section,study,label,asset,window,variant,source_csv,cagr_pct,mdd_pct,calmar,return_2026_pct,cagr_2022plus_pct,verdict,note
BTC core candidates,119,BTC 2022+ 저MDD 포트폴리오,BTCUSDT,2022-01-01 08:00:00 ~ 2026-02-12 00:00:00,lv3p0_g12_body25_tp20_lb5_none_case3_rb1h_w49_27_24,119_backtest_btcusdt_case123_portfolio_fine_tune_around_118.csv,132.2561,42.8382,3.0873,,,BTC 2022+ 저MDD 1순위,1시간 리밸런스 49/27/24. 2022+ 기준 균형이 가장 좋았던 포트폴리오 라인.
BTC core candidates,120,BTC 2022+ 공격형 포트폴리오,BTCUSDT,2022-01-01 08:00:00 ~ 2026-02-12 00:00:00,lv3p0_g12_body25_tp20_lb5_none_case3_rb30min_w46_24_30,120_backtest_btcusdt_case123_fine_tune_rebalance_and_weights.csv,138.0334,43.4085,3.1799,,,BTC 2022+ 공격형 포트폴리오,30분 리밸런스로 CAGR과 Calmar를 더 끌어올렸지만 운영 복잡도가 큼.
BTC core candidates,122,BTC 단순 실전형,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:30:00,weekly_due_allflat_w0_55_45,122_backtest_btcusdt_practical_rebalance_weight_sweep_2021plus.csv,138.4891,54.7645,2.5288,,,BTC 단순 배치 1순위,리밸런스 거의 없이 case2/case3 55/45로 가는 실전형 기본안.
BTC core candidates,126,BTC raw case3 엔진,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:30:00,lb4_delay8_capna_cd0,126_backtest_btcusdt_case3_long_quality_push.csv,167.9773,64.5809,2.6010,-11.5764,,BTC raw 엔진 기준점,이후 135~142 개선 연구의 출발점이 된 row6 원형.
BTC core candidates,127,BTC case2+case3 절충안,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:30:00,case2_case3best_half_mix,127_backtest_btcusdt_case2_vs_case3best_mix.csv,149.8032,55.5628,2.6961,-6.0105,,BTC 공격형 절충안,raw case3보다 MDD와 최근 성과를 완화한 50:50 혼합.
BTC refined engine,138,BTC 최고 엔진형,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:19:00,unlock_slowbear_24h_2p0,138_backtest_btcusdt_row6_refined_fix_trials.csv,206.7044,69.9377,2.9555,15.1415,,BTC 최고 CAGR 엔진,slow bear continuation short를 다시 열어주는 수정이 실제로 먹힌 사례.
BTC refined engine,138,BTC 실전형 개선 엔진,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:19:00,combo_trim2p0_unlock24h,138_backtest_btcusdt_row6_refined_fix_trials.csv,180.7641,63.9784,2.8254,19.1725,114.3598,BTC 현 시점 실전형 알파 1순위,"bulltrim을 더해 same-state 손실 깊이를 줄였고, 2026도 플러스로 뒤집은 버전."
BTC rejected / limited,141,Generic chop guard,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:19:00,combo_choplev2_x6,141_backtest_btcusdt_row6_whipsaw_guard_trials.csv,158.7285,64.7476,2.4515,41.0079,,"부분 효과, 비용 큼",whipsaw 평균 손실은 조금 줄였지만 CAGR 희생이 커서 주력안으로 채택하기 어려움.
BTC rejected / limited,142,Post-bulltrim 재레버리지 제한,BTCUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:19:00,combo_posttrim_same_regime_2p0,142_backtest_btcusdt_row6_posttrim_releverage_trials.csv,181.1938,63.9784,2.8321,19.1725,111.2160,숫자 개선은 있으나 구조 효과 미미,posttrim capped long이 3회뿐이라 whipsaw 구조를 못 건드렸음. 2021 효과를 빼면 CAGR은 111%대.
ETH candidates,129,ETH raw case3 red line,ETHUSDT,2021-01-02 00:00:00 ~ 2026-04-12 03:15:00,lb4_delay9_capna_cd0_only,129_backtest_ethusdt_case2_vs_case3best_mix.csv,63.8550,92.8406,0.6878,-57.9510,,"엔진 연구용, 실전 배치 부적합",ETH에서도 알파는 있었지만 drawdown이 너무 커서 원형 그대로는 배치 불가.
ETH rejected / limited,130,ETH case2 bearish escape 변형,ETHUSDT,2021-01-01 00:00:00 ~ 2026-04-12 05:30:00,short_rsi80_reverse_nogate_stopfix_trim80,130_backtest_ethusdt_case2_bearish_escape_variants.csv,-71.9948,99.9126,-0.7206,-45.8094,,실패 라인,"RSI 완화, reverse 허용, stopfix, trim까지 넣어도 구조적 회생에 실패."
ETH rejected / limited,131,ETH case2 저레버 salvage,ETHUSDT,2021-01-01 00:00:00 ~ 2026-04-12 08:20:00,lev12_tp2x_sl2x,131_backtest_ethusdt_case2_lev12_wide_tpsl.csv,33.0541,76.8370,0.4302,2.0680,,생존형 참고안,case2를 1.2배 노출로 낮추고 TP/SL을 넓혀 겨우 끝까지 생존시킨 버전.
ETH candidates,132,ETH 보수형 오버레이,ETHUSDT,129 raw curve overlay,seed_vault_overlay,132_backtest_ethusdt_case3_seed_vault_overlay.csv,51.5356,31.8147,1.6199,-6.3060,,ETH 보수형 1순위,엔진 수정이 아니라 자금관리 오버레이로 raw red line을 실전형으로 변환한 대표 사례.
ETH candidates,133,ETH 공격형 오버레이,ETHUSDT,129 raw curve overlay,multiplier_ladder_overlay,133_backtest_ethusdt_case3_seed_ladder_overlay.csv,83.1909,71.6547,1.1610,-30.1123,,ETH 공격형 1순위,배수 래더 출금으로 업사이드는 유지하면서 raw red line보다 훨씬 다룰 만한 형태로 정리.
ETH rejected / limited,139,BTC 개선안의 ETH 이식,ETHUSDT,2021-01-02 00:00:00 ~ 2026-03-15 05:30:00,combo_trim2p0_unlock24h,139_backtest_row6_best_btc_eth_same_window.csv,29.3369,97.4863,0.3009,-1.1575,,BTC 전용 개선으로 판정,BTC에서는 먹힌 138 combo가 ETH에서는 거의 재현되지 않음을 확인한 이식 실패 사례.
